Symbol,Name,Sector
AAPL,Apple Inc,Technology
GOOGL,Alphabet Inc,Technology
MSFT,Microsoft Corp,Technology
TSLA,Tesla Inc,Automotive
AMZN,Amazon.com Inc,Consumer Discretionary
NVDA,NVIDIA Corp,Semiconductors
META,Meta Platforms Inc,Technology
AMD,Advanced Micro Devices,Semiconductors
PLTR,Palantir Technologies,Software
COIN,Coinbase Global Inc,Financial Services
JPM,JPMorgan Chase & Co,Banking
BAC,Bank of America Corp,Banking
WMT,Walmart Inc,Retail
JNJ,Johnson & Johnson,Healthcare
PG,Procter & Gamble Co,Consumer Goods
